,rf-hsv,"rf-{'cspace': 'hsv', 'si': ['soci', 'ibs', 'ikaw', 'rgri', 'difgb', 'difgr', 'ColFeatInd', 'RI', 'CI', 'SI', 'BI', 'HI', 'rn', 'gn', 'bn', 'ngrdi', 'difNorGB']}","rf-{'cspace': 'hsv', 'si': ['soci', 'ibs', 'ikaw', 'rgri', 'difgb', 'difgr', 'ColFeatInd', 'RI', 'CI', 'SI', 'BI', 'HI', 'rn', 'gn', 'bn', 'ngrdi', 'difNorGB'], 'si_only': True}",nn-hsv,"nn-{'cspace': 'hsv', 'si': ['soci', 'ibs', 'ikaw', 'rgri', 'difgb', 'difgr', 'ColFeatInd', 'RI', 'CI', 'SI', 'BI', 'HI', 'rn', 'gn', 'bn', 'ngrdi', 'difNorGB']}","nn-{'cspace': 'hsv', 'si': ['soci', 'ibs', 'ikaw', 'rgri', 'difgb', 'difgr', 'ColFeatInd', 'RI', 'CI', 'SI', 'BI', 'HI', 'rn', 'gn', 'bn', 'ngrdi', 'difNorGB'], 'si_only': True}"
lucas-72-2,0.698,0.723,0.724,0.73,0.722,0.723
lucas-73-3,0.699,0.714,0.684,0.727,0.701,0.726
lucas-74-4,0.782,0.777,0.768,0.779,0.777,0.788
lucas-75-5,0.742,0.753,0.756,0.761,0.759,0.757
lucas-76-6,0.747,0.757,0.761,0.756,0.752,0.75
lucas-77-7,0.728,0.73,0.716,0.721,0.732,0.735
lucas-78-8,0.752,0.755,0.747,0.757,0.755,0.758
lucas-79-9,0.687,0.704,0.701,0.71,0.713,0.707
lucas-80-0,0.734,0.756,0.749,0.749,0.755,0.753
lucas-81-1,0.708,0.729,0.731,0.729,0.736,0.714
lucas-82-2,0.682,0.704,0.701,0.708,0.674,0.708
lucas-83-3,0.762,0.77,0.772,0.771,0.769,0.77
lucas-84-4,0.775,0.77,0.763,0.779,0.765,0.764
lucas-85-5,0.719,0.727,0.718,0.737,0.705,0.722
lucas-86-6,0.721,0.72,0.71,0.707,0.689,0.698
lucas-87-7,0.735,0.733,0.719,0.73,0.697,0.715
lucas-88-8,0.734,0.733,0.726,0.741,0.715,0.738
lucas-89-9,0.713,0.712,0.695,0.719,0.705,0.722
lucas-90-0,0.778,0.787,0.773,0.784,0.774,0.77
lucas-91-1,0.699,0.701,0.696,0.686,0.666,0.698
lucas-92-2,0.734,0.746,0.741,0.746,0.738,0.742
lucas-93-3,0.752,0.753,0.752,0.764,0.761,0.764
lucas-94-4,0.775,0.779,0.771,0.772,0.778,0.777
lucas-95-5,0.703,0.696,0.682,0.708,0.706,0.709
lucas-96-6,0.74,0.735,0.722,0.745,0.733,0.742
lucas-97-7,0.671,0.684,0.684,0.701,0.669,0.704
lucas-98-8,0.717,0.736,0.749,0.737,0.716,0.708
lucas-99-9,0.695,0.725,0.719,0.711,0.702,0.705
