,lr-rgb,lr-hsv,lr-cielab,plsr-rgb,plsr-hsv,plsr-cielab,rf-rgb,rf-hsv,rf-cielab,svr-rgb,svr-hsv,svr-cielab,nn-rgb,nn-hsv,nn-cielab
raca-0-6,0.24457931,0.263137267,0.25358059,0.24266623,0.262085624,0.254061988,0.419214197,0.432918337,0.42923129,0.395350454,0.390621548,0.402412899,0.443164633,0.451417381,0.450669264
raca-0-7,0.245766566,0.27010547,0.253334357,0.245080916,0.269763955,0.253940035,0.389785441,0.438416457,0.421312418,0.385577857,0.390778667,0.394360358,0.421065061,0.43019494,0.434224355
raca-0-8,0.242526678,0.262293364,0.250348728,0.240018568,0.261447519,0.249887008,0.397099931,0.422671166,0.418974904,0.378977343,0.381266061,0.387981662,0.428381833,0.434307969,0.434828718
raca-0-9,0.22871176,0.238473397,0.233602473,0.228966206,0.233620018,0.229730442,0.409912747,0.423351972,0.420820837,0.408153138,0.406801848,0.40490318,0.430189234,0.437907688,0.430035914
ossl-0-0,0.1823596266348222,0.2116915477015474,0.19500562837152557,0.18087092160303764,0.2109302177458754,0.19485021837988659,0.5119275702240269,0.7019009397168685,0.5761420839101372,0.44003364462006955,0.5835646158445353,0.538728578353706,0.6652732587056062,0.7177900679175911,0.7315904671129277
ossl-0-1,0.20063677937668023,0.22673517083611328,0.21327883907108092,0.20066203088120038,0.22692731498544405,0.21289078768662917,0.546808272151321,0.7463374578614501,0.6036355612475139,0.48764086152854424,0.632772383253599,0.5941521144097135,0.7454344285257402,0.7550533734410941,0.7524750895298952
ossl-0-2,0.19073808663455605,0.2287145417568629,0.2037795767885897,0.18897513716997116,0.22759525329705854,0.20381059479239694,0.543351997372684,0.7436156896625977,0.595681064596653,0.484101119651,0.6103254027635763,0.5874833706936523,0.728898703460821,0.7592176692727377,0.7633326993391557
ossl-0-3,0.18910535354676117,0.2264806198090995,0.20131976108938254,0.18870366569719788,0.2255172370453088,0.20101466143101454,0.5150535717386235,0.6935444050381445,0.5806946652028652,0.4722996164606399,0.5887025653115117,0.5669306188252488,0.6799761284172386,0.7095530942918407,0.7081559122758765
ossl-0-4,0.19326268147243675,0.2048033874737566,0.20776901727771868,0.19062373879203376,0.20441314956581513,0.20805623551113905,0.5445399766846986,0.7314765321981347,0.6035948903223632,0.49321745624099933,0.6279431434211573,0.6011646574144961,0.7425014096218581,0.773753067811554,0.7740462787336712
ossl-0-5,0.19555828331598957,0.1848215033685383,0.20948874058220823,0.19499853561232694,0.18558337184985252,0.20942244758356388,0.5315177309937686,0.7034510806143259,0.5934138519326737,0.4687952645980348,0.6086389807718813,0.5528586412356034,0.6868376334449211,0.721212145799072,0.7210466549039137
ossl-0-6,0.20647612598531173,0.23111460159869845,0.22000919957673704,0.20538973840407915,0.23099375361032026,0.21988493267433706,0.5445743151860195,0.6991393456072725,0.6036686300596276,0.4681422730187238,0.6059840638760334,0.5686178793062147,0.7078665821655048,0.7284167649474904,0.7268099964941431
ossl-0-7,0.22231950992143135,0.2264711104115854,0.23602532526630915,0.2229233266393037,0.22684002611063325,0.23561713060103917,0.5567150380938639,0.7084407839690596,0.62525617281987,0.5247795655982117,0.6386683361980507,0.602771564309371,0.7231524412755876,0.7299815630115936,0.7329539171425619
ossl-0-8,0.20059900025005328,0.23000360678228915,0.21746084078535588,0.19946418199818516,0.22977134899523832,0.21778596265433203,0.5594404965990422,0.7626301532374473,0.6409476509192724,0.5378896965103428,0.6645900106800422,0.6322933129337438,0.7583138388309574,0.7698151000379294,0.7689752671648254
ossl-0-9,0.19915045687937927,0.21321260664743702,0.2123117876668329,0.1980135549282872,0.21372350590357525,0.2122540705248087,0.5219015420360854,0.7055935965448354,0.5964168657157194,0.45486938896387863,0.6017788193574378,0.5445074073656394,0.6765480772455956,0.6779521782144394,0.6704318648766817
