h,oc
0.086762029,25.2
0.059532941,157.5
0.084535717,27.8
0.06459079,25
0.04116015,42.3
0.084000935,31.5
0.05223538,174.4
0.075611241,52
0.072154447,90.7
0.095247804,26.5
0.068208627,78.1
0.086146069,18
0.073240212,10.3
0.072834012,63.6
0.075395987,70.7
0.079882894,37.6
0.064878916,84.5
0.076491824,29.9
0.077531525,38.2
0.046879611,32.6
0.075276433,44.4
0.056414673,72.2
0.072309279,116.8
0.066475822,69.3
0.021997962,399.2
0.068351549,58
0.052488343,127.4
0.070452925,71.5
0.064279392,128
0.073342638,31.1
0.072719472,67.8
0.079257988,29.4
0.069991078,62.6
0.079899671,45.6
0.064431837,87.9
0.054863734,95.7
0.08128497,40.6
0.069828111,123.7
0.050579121,194.6
0.053440357,129.6
0.069117004,56.3
0.063822065,100.3
0.056915682,124.6
0.083637319,30.9
0.081485027,18.4
0.08326756,13.8
0.065252973,80.6
0.083072485,36.5
0.075104718,54
0.070401735,52.1
0.072787269,57.6
0.063377499,115.1
0.081642824,17.9
0.091619739,13.6
0.080043215,15.7
0.078055998,44.1
0.075964195,49.9
0.095701213,19.4
0.066019889,53.9
0.091116896,26
0.091278606,24.2
0.103116852,16.8
0.0618542,144
0.049925377,195.3
0.061700341,115.9
0.06591392,29.9
0.057707188,2.3
0.072582402,22.1
0.077713027,10.9
0.077237651,9.5
0.082585593,10.1
0.082375133,9.2
0.078768948,8.7
0.068477923,39.8
0.072041641,14.9
0.077842327,11.6
0.060902592,18
0.078761308,12.3
0.077101669,12.3
0.074942797,16
0.077278016,6.1
0.077149106,15.3
0.065191016,64.5
0.079817637,11
0.078741713,17.3
0.074285547,18.8
0.062603246,176.3
0.060808245,51.6
0.077441423,15.2
0.054695453,191.2
0.073287814,22.6
0.059330966,170.8
0.068597808,59.8
0.063826338,69.9
0.079979448,10
0.0761538,31.1
0.072271823,29.8
0.073714554,38.5
0.066682376,36.5
0.079973649,19.5
0.069769193,33.6
0.068159721,35.8
0.074070534,27.4
0.069046285,29.2
0.069601695,40.4
0.076032676,10.4
0.080214429,11.4
0.079929156,11.4
0.079796404,14.3
0.078429254,10
0.072907028,19.3
0.079804564,14.4
0.080295326,24.7
0.074487115,12.1
0.075223817,9
0.077880033,12.6
0.073083849,15.6
0.075936356,11.2
0.068553971,74.5
0.075872334,9.5
0.074198021,10.2
0.063415119,45.5
0.069172072,22.8
0.06046715,21.9
0.06022088,24.4
0.0778325,6.4
0.074999599,15
0.080222181,8.6
0.065415039,27.2
0.075568647,9.2
0.049884458,27.6
0.073552589,8.6
0.066140899,12
0.078197274,10.1
0.073063915,10.8
0.075455689,15.7
0.081972424,19.2
0.084347141,4.5
0.066348242,41.3
0.077594744,11.7
0.074849603,14
0.072575684,12.9
0.079929296,25.6
0.080219576,9.7
0.074922013,10.5
0.073140347,11.4
0.077156791,24.8
0.078899407,16.3
0.072447273,26.1
0.068329354,27.5
0.078488081,7.6
0.074842213,10.9
0.0719752,24.5
0.075838159,10.9
0.077048314,13.1
0.085775383,9.8
0.076622216,10.3
0.064570109,19.5
0.063752501,117.4
0.071757902,32
0.070082961,52.5
0.079617607,31.9
0.081316302,15.2
0.080278382,31.9
0.072029949,18
0.074369894,91.6
0.072448392,18.6
0.081447054,38
0.069119097,27.9
0.071426718,16.7
0.084618744,33.9
0.076052382,17.6
0.078363612,16.6
0.083599361,36.2
0.084526191,18.6
0.074007337,13.3
0.077878454,8.6
